,facility_code,sys_loc_code,loc_name,loc_group,loc_report_order,sys_sample_code,sample_name,sample_date,sample_type_code,sample_method,start_depth,end_depth,depth_unit,medium_code,matrix_code,species_code,tissue_type,geologic_unit_code,task_code,task_desc,field_sdg,parent_sample_code,analysis_location,lab_sample_id,lab_matrix_code,basis,lab_name_code,analytic_method,analysis_date,column_number,fraction,test_type,prep_method,leachate_method,leachate_date,lab_sdg,percent_moisture,dilution_factor,method_analyte_group,report_order,test_id,cas_rn,chemical_name,organic_yn,report_result_text,report_result_value,report_result_unit,report_result_limit,reportable_result,detect_flag,interpreted_qualifiers,validator_qualifiers,lab_qualifiers,quantitation_limit,method_detection_limit,reporting_detection_limit,detection_limit_unit,approval_code,result_text,result_numeric,result_unit,result_type_code,x_coord,y_coord,stream_mile,stream_code,z_coord_avg,zfrom,zto,longitude,latitude,sample_remark,test_remark,result_remark,validated_yn,validation_level
2556,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,36088-22-9,"Pentachlorinated Dibenzo-p-dioxins, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2557,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,37871-00-4,"Heptachlorinated Dibenzo-p-dioxins, (Total)",,43.0,43.0,ng/kg,,Yes,Y,,,,,,,,,43.0,43.0,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2558,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,38998-75-3,"Heptachlorinated Dibenzofurans, (Total)",,13.0,13.0,ng/kg,,Yes,Y,,,,,,,,,13.0,13.0,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2559,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,39001-02-0,Octachlorodibenzofuran,,8.1,8.1,ng/kg,6.4,Yes,Y,,,,6.4,0.00214,6.4,ng/kg,,8.1,8.1,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2560,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0531,3.2,ng/kg,,,,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2561,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0432,3.2,ng/kg,,,,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2562,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,41903-57-5,"Tetrachlorinated Dibenzo-p-dioxins, (Total)",,3.0,3.0,ng/kg,,Yes,Y,,,,,,,,,3.0,3.0,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2563,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.0289,3.2,ng/kg,,,,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2564,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,55684-94-1,"Hexachlorinated Dibenzofurans, (Total)",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,,,3.2,ng/kg,,,,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
2565,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,55722-27-5,"Tetrachlorinated Dibenzofurans, (Total)",,13.0,13.0,ng/kg,,Yes,Y,,,,,,,,,13.0,13.0,ng/kg,CAL,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,,Y,CLP Validation
2566,NJD980528996,UH415,Newark Bay Diamond Alkali,,,UH415-SED,Sediment Grab,2013-07-03 08:00:00,N,,0,2,cm,,SE,CLP ID: BAW99,,,2013 EPA-DESA Post Hurricane Sandy Grab,,,,LB,L20214-29,SE,DRY,AXYS,E1613B,2013-09-25 14:45:07,1C,T,INITIAL,METHOD,,,BAW91,,1.0,,,381987,57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",,3.2,3.2,ng/kg,3.2,Yes,N,U,U,U,3.2,0.11,3.2,ng/kg,,,,ng/kg,TRG,-74.063867,40.636883,,,-0.0328083,0,-0.0656166,-74.063867,40.636883,Upper Harbor,EPA confirmed on 2/6/15 that results reported on dry weight basis; percent moisture not available,U qualified data are reported at the RL,Y,CLP Validation
