Site_Operator,Site_Address,Latitude,Longitude,Main_Contaminant _Category,Description_of_Operations,Property at Issue Shorthand,River Mile (RM),Beginning Year of Operations,End Year of Operations,Main COCs,List of COCs Manufactured On-Site,List of COCs Involved in Operations,List of COCs that are by-product/waste,On-site Soil/Groundwater Contaminants,Party Responsible for Remediation,Party Associated with Site
BASF Corporation & United Cork Companies,"50 Central Ave., Kearny, NJ",40.7203865,-74.1161204,PCBs,"BASF manufactured chemical products, intermediaries, plasticizers, and dyes. BASF is the successor to United Cork Companies. United Cork manufactured insulation and dyestuffs.",United Cork Site,,1935,1990,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",phthalic anhydride (dioxin-associated compound),"benzaldehyde
chloranil
maleic anhydride",,"PAHs
PCBs
bis(2-ethylhexyl) phthalate
copper
lead
mercury
petroleum hydrocarbons
phthalates
xylene",BASF Corporation,BASF Corporation
Bayonne Barrel & Drum,"150-154 Raymond Bouldevard, Neark NJ",40.7343615,-74.1268634,dioxins,"cleaned and reconditioned steel drums which contained waste, including hazardous substances",Bayonne Barrel & Drum Property,,1940,1983,"DDT
PAHs
copper
dioxins
lead
mercury",,,"PAHs
PCBs
copper
dioxins
lead
mercury
metals",,Bayonne Barrel and Drum Defendants,3M Company
Benjamin Moore & Co.,134 Lister Avenue,40.739709,-74.1320705,lead,manufactured paint and resin and disposed of hazardous substances in the Passaic River,,3.4,1925,,"PAHs
PCBs
copper
lead
mercury",,,,"PAHs
PCBs
copper
dioxin-associated compounds
lead
mercury",Benjamin Moore & Co.,Benjamin Moore & Co.
Campbell Foundry Company,"1235 Harrison Ave., Kearny NJ",40.7493835,-74.134135,lead,"illegal landfill used to dispose of waste sand, clay sag, and cupola dust (which contains cadmium and lead)",Shipping Yard Property,,1981,1991,"PAHs
PCBs
lead
mercury",,"cadmium
lead","cadmium
lead",,Campbell Foundry Company,Campbell Foundry Company
Campbell Foundry Company,"2 Worthington Avenue, Harrison NJ",40.7464901,-74.1562551,lead,"CFC did not operate on Worthington Ave. property since it bought it in 1975. However, soil samples show that past manufacturing operations have left arsenic, mercury, lead, benzo(a) anthracene, benzo(b) fluoranthene, and copper",Worthington Ave. Property,,1975,1992,,,,"arsenic
benzo(a) anthracene
benzo(b) fluoranthene
copper
lead
mercury",,Campbell Foundry Company,Campbell Foundry Company
Campbell Foundry Company,"800 Bergen Street, Harrison NJ",40.7437605,-74.1474387,lead,"manufactured manhole covers, storm drain gratings, sewer gratings, and other cast iron products",Bergen Street Property,,1930,present,"PAHs
PCBs
lead
mercury",,"acetylene
antifreeze
cadmium
cerium
chromium
lead
methylene chloride
phosphoric acid
titanium dioxide","cadmium
chromium
lead",,Campbell Foundry Company,Campbell Foundry Company
Canning Gumm LLC,"538 Forest Street, Kearny NJ",40.771024,-74.137809,lead,"Canning Gumm (and/or its predecessors) manufactured ""Clepo"", cleaners, acid salts, abrasive tumbling compounds, paint strippers, soap compounds, other chemicals for metal plating, painting or other finishing. It also manufactured alkaline cleaners, powder and liquid acids, mass finishing compounds, phosphating compounds a sulfuric-acid based brass brightener. Additionally, Canning Gumm compounded commercial detergents, blended specialty products for metal finishing processes, and operated a laboratory for metal finishing processes. Canning Gumm also blended powdered and liquid raw materials.",,,1938/1939,2000,"PAHs
copper
lead
mercury",,"PAHs
copper
lead
mercury","copper
cyanide
lead
nickel","1,1,1-trichloroethane
1,1-dichloroethane
benzene
chloride
chloride, toluene, volatile organic compounds, xylenes, 1,1,1-trichloroethane, 1,1-dichloroethane, benzene, methylene chloride, and xylenes
methylene chloride
toluene
volatile organic compounds
xylene",Canning Gumm LLC,Canning Gumm
Celanese,"354 and 375 Doremus Ave., Newark NJ",40.7203144,-74.1261486,PAHs,stored and distributed chemicals in bulk; operated an on-site landfill from 1954-1974; filled and stored drums of chemicals at property from 1954-1974; manufactured formaldehyde from 1966-1993,,,1954,1996,"PAHs
dioxin-associated compounds
dioxins",formaldehyde,"caustic soda
dioxin-associated compounds
sulfuric acid",,"DDx
PAHs
PCBs
copper
dieldrin
dioxin-associated compounds
lead
mercury",CNA Holdings LLC,"CNA Holdings, LLC"
Central Steel Drum Company,"704 Doremus Ave., Newark NJ",40.7088793,-74.1318163,dioxins,"stored, incinerated, reconditioned, and painted steel drums that contained residues of non-hazardous and hazardous substances; customers (including Flint Group) contracted with CSD to dispose of/treat hazardous waste",CSD Property,0-0.5,1951,,"DDT
PAHs
copper
dieldrin
dioxins
lead
mercury",,,,"DDT
HMW PAHs
LMW PAH
PAHs
PCBs
copper
dieldrin
dioxins
lead
mercury
pesticides",CSD defendants,3M Company
Chemical Leaman Tank Lines,"80 Doremus Ave., Newark NJ",40.7304745,-74.1207844,lead,truck washing facility,,,1970,1993,"DDT
PAHs
PCBs
copper
lead
mercury",,,,"PCBs
benzene
copper
lead
phenol
zinc","Quala Systems, Inc.
Quality Carriers, Inc.","Quala Systems, Inc.
Quality Carriers, Inc."
